Software	SampleID	GenomeProportion	Group	Software_Group	Software_GenomeProportion	PeakRSS	Times	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	Precision	Recall	Accuracy	F1	TPR	TNR
Kneaddata	RiceS60-2-4	50%	60G	Kneaddata60G	Kneaddata0.5	32.74	999.97375	95997800	95997800	191995600	95997800	197912	0	95799888	0.997942611	1	0.998969185	0.998970246	1	0.997938369
Kneaddata	RiceS60-2-5	50%	60G	Kneaddata60G	Kneaddata0.5	32.56	996.5451333	95997800	95997800	191995600	95997800	197424	0	95800376	0.997947674	1	0.998971726	0.998972783	1	0.997943453
Kraken2	RiceS60-2-1	50%	60G	Kraken260G	Kraken20.5	0.75	62.13508333	95997800	95997800	191995600	93950013	55881	2047787	95941919	0.999405559	0.978668397	0.989043145	0.988928278	0.978668397	0.999417893
Kraken2	RiceS60-2-2	50%	60G	Kraken260G	Kraken20.5	0.75	61.81601667	95997800	95997800	191995600	93949568	56263	2048232	95941537	0.999401495	0.978663761	0.989038837	0.988923922	0.978663761	0.999413914
Kraken2	RiceS60-2-3	50%	60G	Kraken260G	Kraken20.5	0.76	61.69216667	95997800	95997800	191995600	93950494	56009	2047306	95941791	0.999404201	0.978673407	0.989044983	0.988930172	0.978673407	0.99941656
Kraken2	RiceS60-2-4	50%	60G	Kraken260G	Kraken20.5	0.76	61.02785	95997800	95997800	191995600	93951993	56458	2045807	95941342	0.999399437	0.978689022	0.989050452	0.988935811	0.978689022	0.999411882
Kraken2	RiceS60-2-5	50%	60G	Kraken260G	Kraken20.5	0.76	61.58576667	95997800	95997800	191995600	93951173	56476	2046627	95941324	0.99939924	0.97868048	0.989046088	0.988931354	0.97868048	0.999411695
HostPurge	RiceS60-2-1	50%	60G	HostPurge60G	HostPurge0.5	16.96	176.2167667	95997800	95997800	191995600	94190805	155295	0	95796538	0.998353986	1	0.999183271	0.999176315	1	0.998381532
HostPurge	RiceS60-2-2	50%	60G	HostPurge60G	HostPurge0.5	16.96	175.8722667	95997800	95997800	191995600	94190358	155515	0	95795942	0.99835165	1	0.99918211	0.999175145	1	0.998379233
HostPurge	RiceS60-2-3	50%	60G	HostPurge60G	HostPurge0.5	16.96	175.7639833	95997800	95997800	191995600	94190676	155453	0	95796212	0.998352312	1	0.999182439	0.999175477	1	0.998379882
HostPurge	RiceS60-2-4	50%	60G	HostPurge60G	HostPurge0.5	16.96	174.8258833	95997800	95997800	191995600	94192409	156160	0	95795336	0.998344861	1	0.999178727	0.999171745	1	0.998372511
HostPurge	RiceS60-2-5	50%	60G	HostPurge60G	HostPurge0.5	16.96	173.215	95997800	95997800	191995600	94192247	155552	0	95795682	0.998351292	1	0.999181923	0.999174966	1	0.998378843
Kneaddata	RiceS60-3-1	10%	60G	Kneaddata60G	Kneaddata0.1	30.3	409.1919667	19199560	172796040	191995600	19199560	354556	0	172441484	0.981867961	1	0.998153312	0.990851036	1	0.997948124
Kneaddata	RiceS60-3-2	10%	60G	Kneaddata60G	Kneaddata0.1	30.3	477.9506167	19199560	172796040	191995600	19199560	355376	0	172440664	0.981826788	1	0.998149041	0.99083007	1	0.997943379
Kneaddata	RiceS60-3-3	10%	60G	Kneaddata60G	Kneaddata0.1	30.3	498.93245	19199560	172796040	191995600	19199560	355028	0	172441012	0.981844261	1	0.998150853	0.990838968	1	0.997945393
Kneaddata	RiceS60-3-4	10%	60G	Kneaddata60G	Kneaddata0.1	30.3	497.5625	19199560	172796040	191995600	19199560	355210	0	172440830	0.981835123	1	0.998149906	0.990834315	1	0.997944339
Kneaddata	RiceS60-3-5	10%	60G	Kneaddata60G	Kneaddata0.1	30.3	484.1424	19199560	172796040	191995600	19199560	355274	0	172440766	0.981831909	1	0.998149572	0.990832678	1	0.997943969
Kraken2	RiceS60-3-1	10%	60G	Kraken260G	Kraken20.1	0.77	57.9719	19199560	172796040	191995600	18790225	100636	109430	99890570	0.994672768	0.994209947	0.998233119	0.994441304	0.994209947	0.998993551
Kraken2	RiceS60-3-2	10%	60G	Kraken260G	Kraken20.1	0.78	57.36791667	19199560	172796040	191995600	18790641	101101	109761	99890239	0.994648402	0.994192663	0.998226437	0.994420481	0.994192663	0.998988902
Kraken2	RiceS60-3-3	10%	60G	Kraken260G	Kraken20.1	0.77	57.1154	19199560	172796040	191995600	18790656	101025	109497	99890503	0.994652408	0.994206555	0.998229296	0.994429432	0.994206555	0.998989664
