SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	F1
RiceS60-3-5	Bowtie2	Rice	Single	10%	60G	0.999875089
RiceS60-3-1	Kraken2	Rice	Single	10%	60G	0.994441304
RiceS60-3-2	Kraken2	Rice	Single	10%	60G	0.994420481
RiceS60-3-3	Kraken2	Rice	Single	10%	60G	0.994429432
RiceS60-3-4	Kraken2	Rice	Single	10%	60G	0.994424236
RiceS60-3-5	Kraken2	Rice	Single	10%	60G	0.994424218
RiceS60-3-1	KMCP	Rice	Single	10%	60G	0.855733402
RiceS60-3-2	KMCP	Rice	Single	10%	60G	0.855614795
RiceS60-3-3	KMCP	Rice	Single	10%	60G	0.855614045
RiceS60-3-4	KMCP	Rice	Single	10%	60G	0.855739608
RiceS60-3-5	KMCP	Rice	Single	10%	60G	0.855619434
RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	0.995982567
RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	0.995979982
RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	0.995984013
RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	0.995964949
RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	0.995961743
RiceM10-1-1	Kneaddata	Rice	Multiple	90%	10G	0.99984141
RiceM10-1-2	Kneaddata	Rice	Multiple	90%	10G	0.999674404
RiceM10-1-3	Kneaddata	Rice	Multiple	90%	10G	0.999882594
RiceM10-1-4	Kneaddata	Rice	Multiple	90%	10G	0.99989948
RiceM10-1-5	Kneaddata	Rice	Multiple	90%	10G	0.99979326
RiceM10-1-1	BWA	Rice	Multiple	90%	10G	0.999358134
RiceM10-1-2	BWA	Rice	Multiple	90%	10G	0.999206764
RiceM10-1-3	BWA	Rice	Multiple	90%	10G	0.999723945
RiceM10-1-4	BWA	Rice	Multiple	90%	10G	0.999520538
RiceM10-1-5	BWA	Rice	Multiple	90%	10G	0.999321958
RiceM10-1-1	Bowtie2	Rice	Multiple	90%	10G	0.999890097
RiceM10-1-2	Bowtie2	Rice	Multiple	90%	10G	0.999880929
RiceM10-1-3	Bowtie2	Rice	Multiple	90%	10G	0.999888555
RiceM10-1-4	Bowtie2	Rice	Multiple	90%	10G	0.999889096
RiceM10-1-5	Bowtie2	Rice	Multiple	90%	10G	0.999889555
RiceM10-1-1	Kraken2	Rice	Multiple	90%	10G	0.989188241
RiceM10-1-2	Kraken2	Rice	Multiple	90%	10G	0.989193098
RiceM10-1-3	Kraken2	Rice	Multiple	90%	10G	0.989203359
RiceM10-1-4	Kraken2	Rice	Multiple	90%	10G	0.98921521
RiceM10-1-5	Kraken2	Rice	Multiple	90%	10G	0.989211403
RiceM10-1-1	KMCP	Rice	Multiple	90%	10G	0.855717102
RiceM10-1-2	KMCP	Rice	Multiple	90%	10G	0.855624236
RiceM10-1-3	KMCP	Rice	Multiple	90%	10G	0.855651273
RiceM10-1-4	KMCP	Rice	Multiple	90%	10G	0.855680074
RiceM10-1-5	KMCP	Rice	Multiple	90%	10G	0.855729687
RiceM10-1-1	KrakenUniq	Rice	Multiple	90%	10G	0.999927031
RiceM10-1-2	KrakenUniq	Rice	Multiple	90%	10G	0.999799341
RiceM10-1-3	KrakenUniq	Rice	Multiple	90%	10G	0.999939919
RiceM10-1-4	KrakenUniq	Rice	Multiple	90%	10G	0.999955084
RiceM10-1-5	KrakenUniq	Rice	Multiple	90%	10G	0.999881789
RiceM10-2-1	Kneaddata	Rice	Multiple	50%	10G	0.998579588
RiceM10-2-2	Kneaddata	Rice	Multiple	50%	10G	0.997048669
RiceM10-2-3	Kneaddata	Rice	Multiple	50%	10G	0.99894489
RiceM10-2-4	Kneaddata	Rice	Multiple	50%	10G	0.999090457
RiceM10-2-5	Kneaddata	Rice	Multiple	50%	10G	0.998137035
RiceM10-2-1	BWA	Rice	Multiple	50%	10G	0.993355196
RiceM10-2-2	BWA	Rice	Multiple	50%	10G	0.99258384
RiceM10-2-3	BWA	Rice	Multiple	50%	10G	0.997272547
RiceM10-2-4	BWA	Rice	Multiple	50%	10G	0.996148627
RiceM10-2-5	BWA	Rice	Multiple	50%	10G	0.994204723
RiceM10-2-1	Bowtie2	Rice	Multiple	50%	10G	0.999878861
RiceM10-2-2	Bowtie2	Rice	Multiple	50%	10G	0.999812215
RiceM10-2-3	Bowtie2	Rice	Multiple	50%	10G	0.99986956
RiceM10-2-4	Bowtie2	Rice	Multiple	50%	10G	0.99988496
RiceM10-2-5	Bowtie2	Rice	Multiple	50%	10G	0.999882935
RiceM10-2-1	Kraken2	Rice	Multiple	50%	10G	0.988963906
RiceM10-2-2	Kraken2	Rice	Multiple	50%	10G	0.988887068
RiceM10-2-3	Kraken2	Rice	Multiple	50%	10G	0.989082737
RiceM10-2-4	Kraken2	Rice	Multiple	50%	10G	0.989068945
RiceM10-2-5	Kraken2	Rice	Multiple	50%	10G	0.989037828
RiceM10-2-1	KMCP	Rice	Multiple	50%	10G	0.855717114
RiceM10-2-2	KMCP	Rice	Multiple	50%	10G	0.855629148
RiceM10-2-3	KMCP	Rice	Multiple	50%	10G	0.855620782
RiceM10-2-4	KMCP	Rice	Multiple	50%	10G	0.855725232
RiceM10-2-5	KMCP	Rice	Multiple	50%	10G	0.855617066
RiceM10-2-1	KrakenUniq	Rice	Multiple	50%	10G	0.999352654
RiceM10-2-2	KrakenUniq	Rice	Multiple	50%	10G	0.998177135
RiceM10-2-3	KrakenUniq	Rice	Multiple	50%	10G	0.999462077
RiceM10-2-4	KrakenUniq	Rice	Multiple	50%	10G	0.999599301
RiceM10-2-5	KrakenUniq	Rice	Multiple	50%	10G	0.998924482
RiceM10-3-1	Kneaddata	Rice	Multiple	10%	10G	0.987310302
RiceM10-3-2	Kneaddata	Rice	Multiple	10%	10G	0.974116401
RiceM10-3-3	Kneaddata	Rice	Multiple	10%	10G	0.990631384
RiceM10-3-4	Kneaddata	Rice	Multiple	10%	10G	0.991897745
RiceM10-3-5	Kneaddata	Rice	Multiple	10%	10G	0.983385323
RiceM10-3-1	BWA	Rice	Multiple	10%	10G	0.945892856
RiceM10-3-2	BWA	Rice	Multiple	10%	10G	0.93685883
RiceM10-3-3	BWA	Rice	Multiple	10%	10G	0.975379514
RiceM10-3-4	BWA	Rice	Multiple	10%	10G	0.965345705
RiceM10-3-5	BWA	Rice	Multiple	10%	10G	0.950353688
RiceM10-3-1	Bowtie2	Rice	Multiple	10%	10G	0.999788245
RiceM10-3-2	Bowtie2	Rice	Multiple	10%	10G	0.999177959
RiceM10-3-3	Bowtie2	Rice	Multiple	10%	10G	0.999706138
RiceM10-3-4	Bowtie2	Rice	Multiple	10%	10G	0.999860737
RiceM10-3-5	Bowtie2	Rice	Multiple	10%	10G	0.999822986
RiceM10-3-1	Kraken2	Rice	Multiple	10%	10G	0.986825994
RiceM10-3-2	Kraken2	Rice	Multiple	10%	10G	0.993888098
RiceM10-3-3	Kraken2	Rice	Multiple	10%	10G	0.987776535
RiceM10-3-4	Kraken2	Rice	Multiple	10%	10G	0.987685197
RiceM10-3-5	Kraken2	Rice	Multiple	10%	10G	0.987620952
RiceM10-3-1	KMCP	Rice	Multiple	10%	10G	0.855906883
RiceM10-3-2	KMCP	Rice	Multiple	10%	10G	0.855911799
RiceM10-3-3	KMCP	Rice	Multiple	10%	10G	0.855933554
RiceM10-3-4	KMCP	Rice	Multiple	10%	10G	0.855794789
RiceM10-3-5	KMCP	Rice	Multiple	10%	10G	0.855606228
RiceM10-3-1	KrakenUniq	Rice	Multiple	10%	10G	0.994165349
RiceM10-3-2	KrakenUniq	Rice	Multiple	10%	10G	0.983869063
RiceM10-3-3	KrakenUniq	Rice	Multiple	10%	10G	0.995236428
RiceM10-3-4	KrakenUniq	Rice	Multiple	10%	10G	0.996398928
