SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	101.8726
RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	88.24115
RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	88.89886667
RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	83.58275
RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	89.46911667
RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	88.78201667
RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	85.00276667
HumanS10-1-1	Bowtie2	Human	Single	90%	10G	213.7723167
HumanS10-1-2	Bowtie2	Human	Single	90%	10G	220.52955
HumanS10-1-3	Bowtie2	Human	Single	90%	10G	220.3082833
HumanS10-1-4	Bowtie2	Human	Single	90%	10G	215.7180667
HumanS10-1-5	Bowtie2	Human	Single	90%	10G	216.18805
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	125.09145
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	127.4972833
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	133.8821333
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	132.7663833
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	128.7044667
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	37.38936667
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	38.57583333
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	38.57651667
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	38.18121667
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	38.86585
HumanS10-1-1	BWA	Human	Single	90%	10G	533.2553333
HumanS10-1-2	BWA	Human	Single	90%	10G	598.86305
HumanS10-1-3	BWA	Human	Single	90%	10G	574.8370667
HumanS10-1-4	BWA	Human	Single	90%	10G	575.4799667
HumanS10-1-5	BWA	Human	Single	90%	10G	573.7618
HumanS10-2-1	BWA	Human	Single	50%	10G	423.4203167
HumanS10-2-2	BWA	Human	Single	50%	10G	419.5247667
HumanS10-2-3	BWA	Human	Single	50%	10G	385.1924833
HumanS10-2-4	BWA	Human	Single	50%	10G	401.73485
HumanS10-2-5	BWA	Human	Single	50%	10G	377.3470333
HumanS10-3-1	BWA	Human	Single	10%	10G	217.0092667
HumanS10-3-2	BWA	Human	Single	10%	10G	208.1844333
HumanS10-3-3	BWA	Human	Single	10%	10G	198.3002667
HumanS10-3-4	BWA	Human	Single	10%	10G	207.3831
HumanS10-3-5	BWA	Human	Single	10%	10G	213.2161
HumanS10-1-1	Kneaddata	Human	Single	90%	10G	592.9975167
HumanS10-1-2	Kneaddata	Human	Single	90%	10G	557.5083
HumanS10-1-3	Kneaddata	Human	Single	90%	10G	551.0277
HumanS10-1-4	Kneaddata	Human	Single	90%	10G	570.1164333
HumanS10-1-5	Kneaddata	Human	Single	90%	10G	559.9632
HumanS10-2-1	Kneaddata	Human	Single	50%	10G	351.76375
