SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
RiceS60-3-1	BWA	Rice	Single	10%	60G	1.34
RiceS60-3-2	BWA	Rice	Single	10%	60G	1.34
RiceS60-3-3	BWA	Rice	Single	10%	60G	1.34
RiceS60-3-4	BWA	Rice	Single	10%	60G	1.34
RiceS60-3-5	BWA	Rice	Single	10%	60G	1.34
RiceS60-1-1	KneadData	Rice	Single	90%	60G	30.26
RiceS60-1-2	KneadData	Rice	Single	90%	60G	30.27
RiceS60-1-3	KneadData	Rice	Single	90%	60G	30.27
RiceS60-1-4	KneadData	Rice	Single	90%	60G	30.27
RiceS60-1-5	KneadData	Rice	Single	90%	60G	30.27
RiceS60-2-1	KneadData	Rice	Single	50%	60G	32.73
RiceS60-2-2	KneadData	Rice	Single	50%	60G	32.73
RiceS60-2-3	KneadData	Rice	Single	50%	60G	32.73
RiceS60-2-4	KneadData	Rice	Single	50%	60G	32.74
RiceS60-2-5	KneadData	Rice	Single	50%	60G	32.56
RiceS60-3-1	KneadData	Rice	Single	10%	60G	30.3
RiceS60-3-2	KneadData	Rice	Single	10%	60G	30.3
RiceS60-3-3	KneadData	Rice	Single	10%	60G	30.3
RiceS60-3-4	KneadData	Rice	Single	10%	60G	30.3
RiceS60-3-5	KneadData	Rice	Single	10%	60G	30.3
RiceS60-1-1	Kraken2	Rice	Single	90%	60G	0.770957031
RiceS60-1-2	Kraken2	Rice	Single	90%	60G	0.784716797
RiceS60-1-3	Kraken2	Rice	Single	90%	60G	0.773037109
RiceS60-1-4	Kraken2	Rice	Single	90%	60G	0.768095703
RiceS60-1-5	Kraken2	Rice	Single	90%	60G	0.773115234
RiceS60-2-1	Kraken2	Rice	Single	50%	60G	0.771572266
RiceS60-2-2	Kraken2	Rice	Single	50%	60G	0.766894531
RiceS60-2-3	Kraken2	Rice	Single	50%	60G	0.758564453
RiceS60-2-4	Kraken2	Rice	Single	50%	60G	0.762109375
RiceS60-2-5	Kraken2	Rice	Single	50%	60G	0.768886719
RiceS60-3-1	Kraken2	Rice	Single	10%	60G	0.748671875
RiceS60-3-2	Kraken2	Rice	Single	10%	60G	0.750097656
RiceS60-3-3	Kraken2	Rice	Single	10%	60G	0.764609375
RiceS60-3-4	Kraken2	Rice	Single	10%	60G	0.755664063
RiceS60-3-5	Kraken2	Rice	Single	10%	60G	0.760537109
RiceS60-1-1	KMCP	Rice	Single	90%	60G	4.35
RiceS60-1-2	KMCP	Rice	Single	90%	60G	4.21
RiceS60-1-3	KMCP	Rice	Single	90%	60G	4.26
RiceS60-1-4	KMCP	Rice	Single	90%	60G	4.42
RiceS60-1-5	KMCP	Rice	Single	90%	60G	4.42
RiceS60-2-1	KMCP	Rice	Single	50%	60G	4.35
RiceS60-2-2	KMCP	Rice	Single	50%	60G	4.14
RiceS60-2-3	KMCP	Rice	Single	50%	60G	4.36
RiceS60-2-4	KMCP	Rice	Single	50%	60G	4.42
RiceS60-2-5	KMCP	Rice	Single	50%	60G	4.43
RiceS60-3-1	KMCP	Rice	Single	10%	60G	4.03
RiceS60-3-2	KMCP	Rice	Single	10%	60G	4.14
RiceS60-3-3	KMCP	Rice	Single	10%	60G	4.24
RiceS60-3-4	KMCP	Rice	Single	10%	60G	4.33
RiceS60-3-5	KMCP	Rice	Single	10%	60G	4.38
RiceS60-1-1	KrakenUniq	Rice	Single	90%	60G	11.64
RiceS60-1-2	KrakenUniq	Rice	Single	90%	60G	11.37
RiceS60-1-3	KrakenUniq	Rice	Single	90%	60G	10.06
RiceS60-1-4	KrakenUniq	Rice	Single	90%	60G	11.44
RiceS60-1-5	KrakenUniq	Rice	Single	90%	60G	10.78
RiceS60-2-1	KrakenUniq	Rice	Single	50%	60G	11.33
RiceS60-2-2	KrakenUniq	Rice	Single	50%	60G	11.2
RiceS60-2-3	KrakenUniq	Rice	Single	50%	60G	10.47
RiceS60-2-4	KrakenUniq	Rice	Single	50%	60G	11.28
RiceS60-2-5	KrakenUniq	Rice	Single	50%	60G	11.53
RiceS60-3-1	KrakenUniq	Rice	Single	10%	60G	11.04
RiceS60-3-2	KrakenUniq	Rice	Single	10%	60G	11.42
RiceS60-3-3	KrakenUniq	Rice	Single	10%	60G	10.47
RiceS60-3-4	KrakenUniq	Rice	Single	10%	60G	11.28
RiceS60-3-5	KrakenUniq	Rice	Single	10%	60G	11.4
HumanS10-1-1	Bowtie2	Human	Single	90%	10G	3.42
HumanS10-1-2	Bowtie2	Human	Single	90%	10G	3.42
HumanS10-1-3	Bowtie2	Human	Single	90%	10G	3.42
HumanS10-1-4	Bowtie2	Human	Single	90%	10G	3.42
HumanS10-1-5	Bowtie2	Human	Single	90%	10G	3.42
HumanS10-2-1	Bowtie2	Human	Single	50%	10G	3.42
HumanS10-2-2	Bowtie2	Human	Single	50%	10G	3.42
HumanS10-2-3	Bowtie2	Human	Single	50%	10G	3.42
HumanS10-2-4	Bowtie2	Human	Single	50%	10G	3.42
HumanS10-2-5	Bowtie2	Human	Single	50%	10G	3.42
HumanS10-3-1	Bowtie2	Human	Single	10%	10G	3.42
HumanS10-3-2	Bowtie2	Human	Single	10%	10G	3.42
HumanS10-3-3	Bowtie2	Human	Single	10%	10G	3.42
HumanS10-3-4	Bowtie2	Human	Single	10%	10G	3.42
HumanS10-3-5	Bowtie2	Human	Single	10%	10G	3.42
HumanS10-1-1	BWA	Human	Single	90%	10G	6.58
HumanS10-1-2	BWA	Human	Single	90%	10G	6.78
HumanS10-1-3	BWA	Human	Single	90%	10G	6.73
HumanS10-1-4	BWA	Human	Single	90%	10G	6.77
HumanS10-1-5	BWA	Human	Single	90%	10G	6.73
HumanS10-2-1	BWA	Human	Single	50%	10G	6.57
HumanS10-2-2	BWA	Human	Single	50%	10G	6.78
HumanS10-2-3	BWA	Human	Single	50%	10G	6.73
HumanS10-2-4	BWA	Human	Single	50%	10G	6.77
HumanS10-2-5	BWA	Human	Single	50%	10G	6.72
HumanS10-3-1	BWA	Human	Single	10%	10G	6.57
