KEGG_ko	microbiome1
ko:K01113	6.26368
ko:K01118	82.40797
ko:K01119	127.20964000000001
ko:K01126	452.597977
ko:K01128	6.01813
ko:K01129	293.3961
ko:K01130	353.55785000000003
ko:K01133	10.42427
ko:K01138	42.46984
ko:K01139	120.44927
ko:K01141	5.54924
ko:K01142	145.75515000000001
ko:K01144	47.205921000000004
ko:K01147	36.687979999999996
ko:K01150	5.36995
ko:K01151	127.70639
ko:K01153	360.32092
ko:K01154	2258.323486
ko:K01155	101.72851
ko:K01156	105.70948
ko:K01159	189.59945
ko:K01163	120.51785
ko:K01173	100.14350999999999
ko:K01176	275.89666
ko:K01178	31.36094
ko:K01179	105.960052
ko:K01181	75.05225
ko:K01182	156.724556
ko:K01183	32.188050000000004
ko:K01185	172.829404
ko:K01186	190.09177
ko:K01187	421.692358
ko:K01190	998.487541
ko:K01191	68.80893999999999
ko:K01192	208.9957
ko:K01193	144.73856
ko:K01194	3.29234
ko:K01195	15.7675
ko:K01197	116.69816
ko:K01198	99.701992
ko:K01200	130.35153
ko:K01201	57.197371000000004
ko:K01205	78.77138000000001
ko:K01206	368.91313
ko:K01207	190.02699
ko:K01208	180.06683999999998
ko:K01209	260.321802
ko:K01210	16.64163
ko:K01214	83.60203
ko:K01215	27.76306
ko:K01218	18.25479
ko:K01220	17.22095
ko:K01222	65.80696
ko:K01223	69.01449
ko:K01224	97.70586
ko:K01226	34.24265
ko:K01227	8.3171
ko:K01232	54.55043
ko:K01233	2.76936
ko:K01235	68.359786
ko:K01239	55.17938
ko:K01241	24.38563
ko:K01243	84.939232
ko:K01246	197.61376
ko:K01247	24.43118
ko:K01250	50.49154
ko:K01251	158.09568
ko:K01253	13.2533
ko:K01255	43.99141
ko:K01256	74.293
ko:K01258	248.41031999999998
ko:K01259	47.0081
ko:K01262	359.39964100000003
ko:K01265	353.68029
ko:K01266	9.88924
ko:K01267	71.90215
ko:K01270	201.379809
ko:K01271	122.11694
ko:K01273	138.71453
ko:K01274	68.01106
ko:K01277	94.159124
ko:K01278	213.717802
ko:K01284	159.43167
ko:K01286	209.80749
ko:K01295	45.27218
ko:K01297	24.87625
ko:K01299	46.134209999999996
ko:K01304	77.59696
ko:K01305	6.79139
ko:K01308	3.35195
ko:K01322	24.53519
ko:K01337	26.35381
ko:K01338	413.933772
ko:K01342	9.141449999999999
ko:K01354	10.00348
ko:K01356	230.82007
ko:K01358	307.15289
ko:K01361	8.1937
ko:K01364	8.87936
ko:K01372	208.01111
ko:K01387	5.52697
ko:K01389	10.30987
ko:K01409	367.47009099999997
ko:K01414	108.33979
ko:K01415	75.24061
ko:K01420	91.53320000000001
ko:K01421	148.1677
ko:K01424	333.983722
ko:K01425	70.43995
ko:K01426	82.57661
ko:K01428	24.2637
ko:K01429	51.84893
ko:K01430	42.09425
ko:K01431	5.84317
ko:K01433	8.56644
ko:K01436	15.95181
ko:K01438	236.30656
ko:K01439	400.89845
ko:K01442	319.87627000000003
ko:K01443	1377.79447
ko:K01444	27.76056
ko:K01447	263.428402
ko:K01448	474.266469
ko:K01449	115.07389
ko:K01457	13.64648
ko:K01460	3.62279
ko:K01462	347.26631
ko:K01463	28.81469
ko:K01464	21.23679
ko:K01465	207.54794
ko:K01468	36.65078
ko:K01469	4.07109
ko:K01470	147.96336
ko:K01476	59.981970000000004
ko:K01478	57.17654
ko:K01480	118.46953
ko:K01482	16.87403
ko:K01485	20.01673
ko:K01486	92.45665000000001
ko:K01487	89.81702
ko:K01488	18.56822
ko:K01489	337.86763
ko:K01491	216.07873899999998
ko:K01493	174.78531
ko:K01494	50.94364
ko:K01495	119.30453
ko:K01496	248.5215
ko:K01501	19.10334
ko:K01507	30.830849999999998
ko:K01512	206.814209
ko:K01515	116.14734
ko:K01520	560.7514600000001
ko:K01523	270.85113
ko:K01524	231.670191
ko:K01525	28.6943
ko:K01531	48.83745
ko:K01533	284.30165999999997
ko:K01534	257.03309
ko:K01537	291.875322
ko:K01546	62.339909999999996
ko:K01547	93.62544
ko:K01548	107.56682
ko:K01551	66.97968
ko:K01560	103.63045
ko:K01567	2.67079
ko:K01571	209.56229
ko:K01572	166.52182
ko:K01573	107.68925999999999
ko:K01574	5.99757
ko:K01575	6.00584
ko:K01577	5.35308
ko:K01579	131.03796
ko:K01580	187.46469
ko:K01581	12.6339
ko:K01582	74.57262
ko:K01583	74.57262
ko:K01585	251.60111999999998
ko:K01586	144.63188
ko:K01588	295.84617
ko:K01589	30.70014
ko:K01590	7.96616
ko:K01591	245.50873
ko:K01595	16.8308
ko:K01596	5.13805
ko:K01597	3.70034
ko:K01598	104.27649
ko:K01599	85.50151
ko:K01607	204.59707
ko:K01609	148.82494
ko:K01610	78.37154100000001
ko:K01611	29.54666
ko:K01613	96.472042
ko:K01615	209.7139
ko:K01619	182.113441
ko:K01620	185.965241
ko:K01621	18.82628
ko:K01623	3.81234
ko:K01624	188.93262
ko:K01625	15.79665
ko:K01626	95.052166
ko:K01627	40.78297
ko:K01628	123.57447
ko:K01629	59.69854
ko:K01630	35.6457
ko:K01633	94.43742
ko:K01634	167.66061
ko:K01639	51.722822
ko:K01643	11.7338
ko:K01644	8.21442
ko:K01646	44.4294
ko:K01647	190.12972000000002
ko:K01649	283.6333
ko:K01652	321.87247
ko:K01653	146.2705
ko:K01654	60.1837
ko:K01657	208.930372
ko:K01658	142.68615
ko:K01659	17.51967
ko:K01661	137.41851
ko:K01662	206.19912
ko:K01664	79.61518000000001
ko:K01665	63.91274
ko:K01666	56.27988
ko:K01667	40.274061
ko:K01668	69.43068
ko:K01673	65.18246
ko:K01676	170.67051
ko:K01677	144.03217
ko:K01678	188.40157
ko:K01679	207.24213
ko:K01681	215.8853
ko:K01683	34.93111
ko:K01684	28.25363
ko:K01685	34.616730000000004
ko:K01686	183.44204000000002
ko:K01687	251.62631
ko:K01689	262.99537
ko:K01692	1.53882
ko:K01693	172.90147000000002
ko:K01695	193.033058
ko:K01696	260.53423
ko:K01697	28.110860000000002
ko:K01698	81.72611
ko:K01703	370.935342
ko:K01704	301.63293
ko:K01706	11.8816
ko:K01707	33.578332
ko:K01708	20.40142
ko:K01709	15.13282
ko:K01710	148.286502
ko:K01711	188.06083999999998
ko:K01712	39.53845
ko:K01713	11.58501
ko:K01714	286.836261
ko:K01715	60.17307
ko:K01719	59.66547
ko:K01727	28.445369999999997
ko:K01729	28.52054
ko:K01730	30.825239999999997
ko:K01733	152.03816
ko:K01734	121.8278
ko:K01735	193.45842
ko:K01736	162.70553
ko:K01737	132.49716
ko:K01738	351.30367
ko:K01739	229.14595
ko:K01740	238.737496
ko:K01744	283.15498
ko:K01745	87.89899
ko:K01749	31.10492
ko:K01750	38.25515
ko:K01751	20.414839999999998
ko:K01752	1113.59034
ko:K01754	259.47794
ko:K01755	232.724166
ko:K01756	263.5052
ko:K01759	283.05624
ko:K01760	281.04064
ko:K01761	49.65643
ko:K01768	15.010729999999999
ko:K01770	211.60761
ko:K01772	97.46588
ko:K01775	415.77158199999997
ko:K01776	244.88061
ko:K01778	136.73862
ko:K01779	18.53181
ko:K01783	274.7115
ko:K01784	499.4832
ko:K01785	285.620718
ko:K01787	106.07108
ko:K01788	151.19042000000002
ko:K01790	172.85925699999999
ko:K01791	257.34482
ko:K01792	25.05751
ko:K01795	2.76321
ko:K01802	223.523352
ko:K01803	321.45185
ko:K01804	130.00583
ko:K01805	85.22969
ko:K01807	51.9664
ko:K01808	297.00764
ko:K01809	79.80229
ko:K01810	171.94153
ko:K01811	211.015219
ko:K01812	37.59349
ko:K01813	48.66416
ko:K01814	580.98623
ko:K01815	49.499709
ko:K01816	22.62137
ko:K01817	181.01309
ko:K01818	189.23092000000003
ko:K01821	80.5608
ko:K01823	18.77373
ko:K01829	10.4297
ko:K01834	142.18018
ko:K01835	371.09229
ko:K01838	35.576859999999996
ko:K01839	90.78197
ko:K01840	179.80326
ko:K01841	4.50183
ko:K01843	50.7879
ko:K01844	8.02012
ko:K01845	59.616209999999995
ko:K01847	213.52473
ko:K01854	155.25351
ko:K01857	6.13757
ko:K01858	13.83228
ko:K01866	231.10133
ko:K01867	219.20802
ko:K01868	410.32721000000004
ko:K01869	245.15233
ko:K01870	224.02992
ko:K01872	275.16985999999997
ko:K01873	297.30197
ko:K01874	247.94996
ko:K01875	177.40399
ko:K01876	459.33329
ko:K01878	98.95617
ko:K01879	73.47947
ko:K01880	112.42736000000001
ko:K01881	196.16901000000001
ko:K01883	176.09285
ko:K01885	327.57445
ko:K01886	101.43037
ko:K01887	253.02218
ko:K01889	395.26639
ko:K01890	237.58627
ko:K01892	228.35976
ko:K01893	321.484491
ko:K01894	4.86828
ko:K01895	201.0263
ko:K01897	587.34875
ko:K01902	152.04264
ko:K01903	207.26806
ko:K01910	10.9811
ko:K01911	127.74776999999999
ko:K01912	233.66825
ko:K01914	116.068372
ko:K01915	335.83457
ko:K01918	84.391452
ko:K01919	38.25407
ko:K01921	282.81686
ko:K01923	241.40751
ko:K01924	300.69967
ko:K01925	184.75648099999998
ko:K01926	135.77940999999998
ko:K01928	245.181696
ko:K01929	276.563972
ko:K01933	166.44535
ko:K01934	159.29118
ko:K01935	52.920010000000005
ko:K01937	187.23799
ko:K01938	251.4872
ko:K01939	231.9399
