KEGG_ko	anonymous_reads0
ko:K01971	31.876440000000002
ko:K01972	211.09002999999998
ko:K01974	10.2308
ko:K01975	31.10456
ko:K01989	153.88166
ko:K01990	1780.231549
ko:K01991	142.202384
ko:K01992	1441.986399
ko:K01993	148.18651
ko:K01995	134.80755
ko:K01996	124.36063
ko:K01997	112.45884000000001
ko:K01998	92.39187
ko:K01999	102.40595
ko:K02000	102.199145
ko:K02001	42.56348
ko:K02002	64.46448
ko:K02003	1294.034651
ko:K02004	1872.455454
ko:K02005	318.767689
ko:K02006	72.3449
ko:K02007	113.7939
ko:K02008	51.81596
ko:K02009	72.58962
ko:K02010	136.557399
ko:K02011	92.33422
ko:K02012	117.394499
ko:K02013	417.51084
ko:K02014	517.01818
ko:K02015	220.89007
ko:K02016	301.44102
ko:K02017	469.35284
ko:K02018	40.42147
ko:K02019	146.63506
ko:K02020	55.57765
ko:K02021	4.41946
ko:K02022	14.59276
ko:K02025	524.97137
ko:K02026	750.54353
ko:K02027	619.890279
ko:K02028	396.78775
ko:K02029	595.86694
ko:K02030	809.6933
ko:K02031	456.70416
ko:K02032	232.98892
ko:K02033	447.66436999999996
ko:K02034	329.28912
ko:K02035	634.85636
ko:K02036	223.45309
ko:K02037	274.10462
ko:K02038	255.43028
ko:K02039	237.96805999999998
ko:K02040	397.00842
ko:K02041	24.091
ko:K02042	30.946930000000002
ko:K02044	15.957525
ko:K02045	9.317879999999999
ko:K02046	4.51316
ko:K02047	4.50192
ko:K02048	3.66703
ko:K02049	738.7311100000001
ko:K02050	632.65216
ko:K02051	435.19315
ko:K02052	54.96654
ko:K02053	43.294200000000004
ko:K02054	29.33318
ko:K02055	55.99695
ko:K02056	197.84293000000002
ko:K02057	461.44205999999997
ko:K02058	27.393259999999998
ko:K02065	48.3763
ko:K02066	174.19702
ko:K02067	78.18883
ko:K02068	42.94565
ko:K02069	37.20174
ko:K02071	113.310919
ko:K02072	136.63434
ko:K02073	130.23198
ko:K02074	15.72465
ko:K02075	68.52065999999999
ko:K02076	43.54654
ko:K02077	28.16942
ko:K02078	1065.452364
ko:K02080	2.2726
ko:K02081	89.26879
ko:K02082	48.6334
ko:K02083	10.5768
ko:K02086	4.70753
ko:K02099	10.46503
ko:K02100	149.91711999999998
ko:K02103	3.13365
ko:K02108	264.92559
ko:K02109	247.02657
ko:K02110	791.62299
ko:K02111	203.74004
ko:K02112	379.552004
ko:K02113	243.14305000000002
ko:K02114	334.46841
ko:K02115	206.862534
ko:K02116	34.6075
ko:K02117	104.03686
ko:K02118	102.07549
ko:K02119	30.62418
ko:K02120	72.98173
ko:K02121	61.56203
ko:K02122	121.02985000000001
ko:K02123	248.04248
ko:K02124	312.37502
ko:K02160	43.66069
ko:K02168	9.09629
ko:K02169	86.56301
ko:K02171	116.37116
ko:K02172	295.68253000000004
ko:K02182	19.02055
ko:K02188	42.35004
ko:K02189	46.949960000000004
ko:K02190	240.55610000000001
ko:K02191	10.28378
ko:K02193	13.12635
ko:K02194	16.0368
ko:K02195	25.609675
ko:K02196	74.0679
ko:K02197	36.19126
ko:K02198	30.98448
ko:K02199	9.39532
ko:K02200	8.04556
ko:K02203	11.23145
ko:K02204	267.1693
ko:K02217	136.22939
ko:K02221	120.3946
ko:K02224	486.03239
ko:K02226	153.84194
ko:K02227	638.7862299999999
ko:K02230	60.80069
ko:K02231	449.94523
ko:K02232	110.68096
ko:K02233	406.80372
ko:K02236	11.3651
ko:K02237	265.91741
ko:K02238	284.347059
ko:K02241	3.59965
ko:K02242	47.24054
ko:K02250	25.691
ko:K02278	18.39479
ko:K02279	98.23631
ko:K02280	43.15188
ko:K02282	43.04435
ko:K02283	244.11617999999999
ko:K02291	10.68926
ko:K02302	162.95696
ko:K02303	138.04708
ko:K02304	522.6241200000001
ko:K02313	249.66726
ko:K02314	428.833293
ko:K02315	231.2519
ko:K02316	497.11674700000003
ko:K02334	47.222839
ko:K02335	225.01964
ko:K02337	298.65262
ko:K02338	277.447129
ko:K02339	8.79385
ko:K02340	191.89346
ko:K02341	174.22931
ko:K02342	317.22471
ko:K02343	166.62938
ko:K02346	324.70117
ko:K02348	8.96141
ko:K02352	11.52309
ko:K02355	400.358084
ko:K02356	177.11422
ko:K02357	219.73542
ko:K02358	359.44162
ko:K02359	21.06035
ko:K02361	123.21925999999999
ko:K02371	269.49113
ko:K02372	75.19523
ko:K02377	77.60897
ko:K02379	16.10146
ko:K02380	13.565529999999999
ko:K02385	47.9354
ko:K02387	28.43412
ko:K02388	95.14859
ko:K02389	18.95624
ko:K02390	36.03869
ko:K02392	27.72767
ko:K02395	30.81521
ko:K02396	19.458219
ko:K02397	33.04665
ko:K02398	12.69641
ko:K02400	97.53231
ko:K02401	18.81125
ko:K02404	3.88106
ko:K02405	13.202069999999999
ko:K02406	58.02692
ko:K02407	45.397
ko:K02408	33.2321
ko:K02409	18.36254
ko:K02410	78.73692
ko:K02411	20.461
ko:K02412	14.17597
ko:K02413	21.564970000000002
ko:K02414	15.93215
ko:K02415	95.8591
ko:K02416	48.88458
ko:K02417	46.13505
ko:K02418	12.1134
ko:K02419	12.26662
ko:K02420	39.64769
ko:K02421	79.24761
ko:K02422	15.9635
ko:K02424	7.25295
ko:K02426	93.74456
ko:K02427	44.890330000000006
ko:K02428	475.40612
ko:K02429	101.54523
