KEGG_ko	anonymous_reads0
ko:K02004	112.696258
ko:K02005	19.410956
ko:K02006	4.197539
ko:K02007	6.329817
ko:K02008	3.002326
ko:K02009	3.938349
ko:K02010	7.088837
ko:K02011	5.166183
ko:K02012	9.671892
ko:K02013	24.699292
ko:K02014	31.808111
ko:K02015	13.60987
ko:K02016	18.292407
ko:K02017	26.353196
ko:K02018	2.329856
ko:K02019	7.333608
ko:K02020	3.201641
ko:K02021	3.310934
ko:K02022	0.846833
ko:K02025	32.217586
ko:K02026	42.578335
ko:K02027	39.694201
ko:K02028	23.555252
ko:K02029	30.556389
ko:K02030	45.362877
ko:K02031	27.390545
ko:K02032	14.269461
ko:K02033	26.913681999999998
ko:K02034	19.553378
ko:K02035	39.231027
ko:K02036	12.48459
ko:K02037	18.302473
ko:K02038	17.201393
ko:K02039	13.042027
ko:K02040	29.051482
ko:K02041	1.3953309999999999
ko:K02042	2.066382
ko:K02044	0.9411510000000001
ko:K02045	0.25826699999999997
ko:K02046	0.261887
ko:K02047	0.261233
ko:K02048	0.212795
ko:K02049	41.294011999999995
ko:K02050	36.588955999999996
ko:K02051	20.792496
ko:K02052	2.946671
ko:K02053	2.5048969999999997
ko:K02054	1.690954
ko:K02055	3.187707
ko:K02056	11.519421
ko:K02057	27.162326
ko:K02058	2.593679
ko:K02065	2.806704
ko:K02066	9.883396
ko:K02067	4.591085
