Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
134	RiceS30-2-4	Bowtie2	Rice	Single	50%	30G	0.999996874	0.999779974	0.999888425	0.999888412
135	RiceS30-2-5	Bowtie2	Rice	Single	50%	30G	0.999996874	0.999779787	0.999888331	0.999888319
136	RiceS30-2-1	Kraken2	Rice	Single	50%	30G	0.999408489	0.978645281	0.98903303	0.988917912
137	RiceS30-2-2	Kraken2	Rice	Single	50%	30G	0.999400323	0.978677074	0.989044916	0.988930145
138	RiceS30-2-3	Kraken2	Rice	Single	50%	30G	0.999405441	0.97866749	0.989042634	0.988927758
139	RiceS30-2-4	Kraken2	Rice	Single	50%	30G	0.999399801	0.978692887	0.989052562	0.988937963
140	RiceS30-2-5	Kraken2	Rice	Single	50%	30G	0.999394468	0.978698554	0.98905278	0.988938244
141	RiceS30-2-1	KMCP	Rice	Single	50%	30G	1	0.747770345	0.873885172	0.855684898
142	RiceS30-2-2	KMCP	Rice	Single	50%	30G	1	0.747684051	0.873842026	0.855628396
143	RiceS30-2-3	KMCP	Rice	Single	50%	30G	1	0.747701968	0.873850984	0.855640128
144	RiceS30-2-4	KMCP	Rice	Single	50%	30G	1	0.747788762	0.873894381	0.855696956
145	RiceS30-2-5	KMCP	Rice	Single	50%	30G	1	0.747885889	0.873942945	0.855760543
146	RiceS30-2-1	KrakenUniq	Rice	Single	50%	30G	0.999112475	0.999998833	0.999555261	0.999555458
147	RiceS30-2-2	KrakenUniq	Rice	Single	50%	30G	0.999104572	0.999998667	0.999551219	0.99955142
148	RiceS30-2-3	KrakenUniq	Rice	Single	50%	30G	0.999108108	0.999998542	0.999552927	0.999553126
149	RiceS30-2-4	KrakenUniq	Rice	Single	50%	30G	0.999102576	0.999998917	0.999550344	0.999550545
150	RiceS30-2-5	KrakenUniq	Rice	Single	50%	30G	0.999091887	0.9999985	0.999544781	0.999544988
151	RiceS30-3-1	Kneaddata	Rice	Single	10%	30G	0.981877401	1	0.998154291	0.990855842
