SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes	Times
HumanS10-1-2	Kneaddata	Human	Single	90%	10G	6.35	557.5083
HumanS10-1-3	Kneaddata	Human	Single	90%	10G	6.35	551.0277
HumanS10-1-4	Kneaddata	Human	Single	90%	10G	6.35	570.1164333
HumanS10-1-5	Kneaddata	Human	Single	90%	10G	6.34	559.9632
HumanS10-2-1	Kneaddata	Human	Single	50%	10G	6.28	351.76375
HumanS10-2-2	Kneaddata	Human	Single	50%	10G	6.28	348.7553833
HumanS10-2-3	Kneaddata	Human	Single	50%	10G	6.28	329.3427167
HumanS10-2-4	Kneaddata	Human	Single	50%	10G	6.28	345.19585
HumanS10-2-5	Kneaddata	Human	Single	50%	10G	6.28	330.4668167
HumanS10-3-1	Kneaddata	Human	Single	10%	10G	6.47	112.48465
HumanS10-3-2	Kneaddata	Human	Single	10%	10G	6.47	114.9406667
HumanS10-3-3	Kneaddata	Human	Single	10%	10G	6.47	111.2955
HumanS10-3-4	Kneaddata	Human	Single	10%	10G	6.47	110.6388167
HumanS10-3-5	Kneaddata	Human	Single	10%	10G	6.47	107.3741667
HumanS10-1-1	Kraken2	Human	Single	90%	10G	4.12	12.30005
HumanS10-1-2	Kraken2	Human	Single	90%	10G	4.12	12.56636667
HumanS10-1-3	Kraken2	Human	Single	90%	10G	4.12	12.46945
HumanS10-1-4	Kraken2	Human	Single	90%	10G	4.12	12.57008333
HumanS10-1-5	Kraken2	Human	Single	90%	10G	4.12	12.45963333
HumanS10-2-1	Kraken2	Human	Single	50%	10G	4.12	11.3723
HumanS10-2-2	Kraken2	Human	Single	50%	10G	4.12	11.3253
HumanS10-2-3	Kraken2	Human	Single	50%	10G	4.11	11.54466667
HumanS10-2-4	Kraken2	Human	Single	50%	10G	4.11	11.57298333
HumanS10-2-5	Kraken2	Human	Single	50%	10G	4.12	11.62966667
HumanS10-3-1	Kraken2	Human	Single	10%	10G	4.11	10.80606667
HumanS10-3-2	Kraken2	Human	Single	10%	10G	4.11	10.76106667
HumanS10-3-3	Kraken2	Human	Single	10%	10G	4.11	11.03
HumanS10-3-4	Kraken2	Human	Single	10%	10G	4.12	10.97951667
HumanS10-3-5	Kraken2	Human	Single	10%	10G	4.11	10.96331667
HumanS10-1-1	KMCP	Human	Single	90%	10G	24.66	97.04901667
HumanS10-1-2	KMCP	Human	Single	90%	10G	24.84	96.98615
HumanS10-1-3	KMCP	Human	Single	90%	10G	24.84	96.769
HumanS10-1-4	KMCP	Human	Single	90%	10G	25.13	97.1715
HumanS10-1-5	KMCP	Human	Single	90%	10G	24.88	96.61758333
HumanS10-2-1	KMCP	Human	Single	50%	10G	24.67	94.41225
HumanS10-2-2	KMCP	Human	Single	50%	10G	24.84	94.41571667
HumanS10-2-3	KMCP	Human	Single	50%	10G	24.85	94.14636667
HumanS10-2-4	KMCP	Human	Single	50%	10G	25.15	94.33646667
HumanS10-2-5	KMCP	Human	Single	50%	10G	24.89	94.10456667
HumanS10-3-1	KMCP	Human	Single	10%	10G	24.72	88.99256667
HumanS10-3-2	KMCP	Human	Single	10%	10G	24.57	125.32015
HumanS10-3-3	KMCP	Human	Single	10%	10G	24.69	97.16591667
HumanS10-3-4	KMCP	Human	Single	10%	10G	24.92	117.2001333
HumanS10-3-5	KMCP	Human	Single	10%	10G	24.75	95.08051667
HumanS10-1-1	KrakenUniq	Human	Single	90%	10G	33.57	27.68093333
HumanS10-1-2	KrakenUniq	Human	Single	90%	10G	33.68	26.87395
HumanS10-1-3	KrakenUniq	Human	Single	90%	10G	33.68	26.44583333
HumanS10-1-4	KrakenUniq	Human	Single	90%	10G	33.69	31.49808333
HumanS10-1-5	KrakenUniq	Human	Single	90%	10G	33.67	31.58101667
HumanS10-2-1	KrakenUniq	Human	Single	50%	10G	33.61	24.0246
HumanS10-2-2	KrakenUniq	Human	Single	50%	10G	33.67	26.83776667
HumanS10-2-3	KrakenUniq	Human	Single	50%	10G	33.66	24.8789
