SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1
HumanS60-1-2	Bowtie2	Human	Single	90%	60G	169342352	19200260	188542612	168940096	0	402256	19199560	5.55	140.4534333	3.42	831.2908	1	0.997624599	0.99786649	0.998810887
HumanS60-1-3	Bowtie2	Human	Single	90%	60G	172796040	19200250	191996290	172390678	0	405362	19199560	5.55	140.4534333	3.42	887.6742333	1	0.997654101	0.997888691	0.998825673
HumanS60-1-4	Bowtie2	Human	Single	90%	60G	172796040	19200186	191996226	172283225	0	512815	19199560	5.55	140.4534333	3.42	909.33985	1	0.997032253	0.997329027	0.998513921
HumanS60-1-5	Bowtie2	Human	Single	90%	60G	166662502	19200160	185862662	166280865	0	381637	19199560	5.55	140.4534333	3.42	883.709	1	0.997710121	0.997946665	0.998853748
HumanS10-1-1	Bowtie2	Human	Single	90%	10G	35999172	3999908	39999080	35923137	0	76035	3999908	5.55	140.4534333	3.42	213.7723167	1	0.997887868	0.998099081	0.998942818
HumanS10-1-2	Bowtie2	Human	Single	90%	10G	35999172	3999908	39999080	35914112	0	85060	3999908	5.55	140.4534333	3.42	220.52955	1	0.997637168	0.997873451	0.998817187
HumanS10-1-3	Bowtie2	Human	Single	90%	10G	35999172	3999908	39999080	35914785	0	84387	3999908	5.55	140.4534333	3.42	220.3082833	1	0.997655863	0.997890276	0.998826556
HumanS10-1-4	Bowtie2	Human	Single	90%	10G	35999172	3999908	39999080	35892350	0	106822	3999908	5.55	140.4534333	3.42	215.7180667	1	0.997032654	0.997329389	0.998514122
HumanS10-1-5	Bowtie2	Human	Single	90%	10G	35999172	3999908	39999080	35916216	0	82956	3999908	5.55	140.4534333	3.42	216.18805	1	0.997695614	0.997926052	0.998846478
HumanM30-3-1	BWA	Human	Multiple	10%	30G	9599794	86398236	95998030	9599780	184010	0	86214010	4.57	65.63555	6.57	596.4013167	0.98119236	1	0.998083185	0.990506909
HumanM30-3-2	BWA	Human	Multiple	10%	30G	9599786	86398258	95998044	9599780	205654	0	86192366	4.57	65.63555	6.78	566.7442	0.979026528	1	0.997857722	0.989402127
HumanM30-3-3	BWA	Human	Multiple	10%	30G	9599792	86398268	95998060	9599780	1574070	0	84823950	4.57	65.63555	6.72	645.2853667	0.859129127	1	0.983603062	0.924227494
HumanM30-3-4	BWA	Human	Multiple	10%	30G	9599792	86398252	95998044	9599780	179655	0	86218365	4.57	65.63555	6.77	546.14285	0.981629307	1	0.998128551	0.990729501
HumanM30-3-5	BWA	Human	Multiple	10%	30G	9599786	86398214	95998000	9599780	12961	0	86385059	4.57	65.63555	6.72	493.07485	0.998651685	1	0.999864986	0.999325388
HumanM60-3-1	BWA	Human	Multiple	10%	60G	19199586	172796430	191996016	19199560	368826	0	172427214	4.57	65.63555	6.57	1455.16995	0.981151946	1	0.998078987	0.990486316
HumanM60-3-2	BWA	Human	Multiple	10%	60G	19199586	172796536	191996122	19199560	364007	0	172432033	4.57	65.63555	6.79	1363.034267	0.981393628	1	0.998104087	0.990609452
HumanM60-3-3	BWA	Human	Multiple	10%	60G	19199586	172796526	191996112	19199560	3188714	0	169607326	4.57	65.63555	6.73	1570.72755	0.857572138	1	0.983391734	0.923325798
HumanM60-3-4	BWA	Human	Multiple	10%	60G	19199578	172796508	191996086	19199560	491570	0	172304470	4.57	65.63555	6.77	1385.857417	0.975035968	1	0.997439681	0.987360214
HumanM60-3-5	BWA	Human	Multiple	10%	60G	19199584	172796412	191995996	19199560	26093	0	172769947	4.57	65.63555	6.73	1196.31545	0.998642803	1	0.999864096	0.999320941
HumanM10-3-1	BWA	Human	Multiple	10%	10G	3999912	35999258	39999170	3999908	76920	0	35922252	4.57	65.63555	6.57	176.9214333	0.98113239	1	0.998076956	0.990476351
HumanM10-3-2	BWA	Human	Multiple	10%	10G	3999908	35999288	39999196	3999908	110954	0	35888218	4.57	65.63555	6.78	178.36875	0.973009554	1	0.997226086	0.986320164
HumanM10-3-3	BWA	Human	Multiple	10%	10G	3999912	35999270	39999182	3999908	643920	0	35355252	4.57	65.63555	6.72	192.3862833	0.861338534	1	0.98390163	0.925504435
HumanM10-3-4	BWA	Human	Multiple	10%	10G	3999914	35999282	39999196	3999908	52378	0	35946794	4.57	65.63555	6.77	174.7149333	0.987074456	1	0.99869052	0.993495189
HumanM10-3-5	BWA	Human	Multiple	10%	10G	3999908	35999248	39999156	3999908	5415	0	35993757	4.57	65.63555	6.72	152.2203	0.998648049	1	0.999864622	0.999323567
HumanM30-2-1	BWA	Human	Multiple	50%	30G	47998906	47999428	95998334	47998900	102087	0	47896813	4.57	65.63555	6.57	1122.05035	0.997877653	1	0.998936569	0.998937699
HumanM30-2-2	BWA	Human	Multiple	50%	30G	47998900	47999584	95998484	47998900	144511	0	47854389	4.57	65.63555	6.78	1255.2571	0.996998322	1	0.998494643	0.998496905
HumanM30-2-3	BWA	Human	Multiple	50%	30G	47998906	47999668	95998574	47998900	902152	0	47096748	4.57	65.63555	6.74	1261.477733	0.981551481	1	0.990602368	0.990689861
HumanM30-2-4	BWA	Human	Multiple	50%	30G	47998912	47999592	95998504	47998900	95845	0	47903055	4.57	65.63555	6.77	1232.381367	0.998007163	1	0.999001592	0.999002588
HumanM30-2-5	BWA	Human	Multiple	50%	30G	47998904	47999472	95998376	47998899	7298	1	47991602	4.57	65.63555	6.73	1156.627467	0.999847978	0.999999979	0.999923967	0.999923973
HumanM60-2-1	BWA	Human	Multiple	50%	60G	95997814	95998806	191996620	95997800	204573	0	95793227	4.57	65.63555	6.58	2353.002233	0.997873514	1	0.998934491	0.998935625
HumanM60-2-2	BWA	Human	Multiple	50%	60G	95997810	95999128	191996938	95997800	206493	0	95791307	4.57	65.63555	6.78	2545.779533	0.997853599	1	0.998924491	0.998925646
HumanM60-2-3	BWA	Human	Multiple	50%	60G	95997814	95999344	191997158	95997800	1725044	0	94272756	4.57	65.63555	6.74	2574.1396	0.982347587	1	0.99101519	0.991095198
HumanM60-2-4	BWA	Human	Multiple	50%	60G	95997814	95999116	191996930	95997800	194397	0	95803403	4.57	65.63555	6.77	2525.569117	0.997979077	1	0.998987492	0.998988517
HumanM60-2-5	BWA	Human	Multiple	50%	60G	95997808	95998942	191996750	95997799	14370	1	95983430	4.57	65.63555	6.74	2361.249767	0.999850331	0.99999999	0.999925149	0.999925155
HumanM10-2-1	BWA	Human	Multiple	50%	10G	19999546	19999756	39999302	19999544	42564	0	19956980	4.57	65.63555	6.57	298.1200333	0.997876271	1	0.998935876	0.998937007
