SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-2-2	OrSinBac	Single	50%	Bowtie2	0.864067551	0.999995468	0.728138402	0.842683677
RiceS10-2-3	OrSinBac	Single	50%	Bowtie2	0.864028775	0.999996223	0.7280603	0.842631639
RiceS10-2-4	OrSinBac	Single	50%	Bowtie2	0.8640144	0.999996017	0.728031699	0.84261241
RiceS10-2-5	OrSinBac	Single	50%	Bowtie2	0.864082551	0.999996223	0.728167852	0.842703667
RiceS10-2-1	OrSinBac	Single	50%	BWA	0.962158137	0.996017617	0.928026809	0.960820903
RiceS10-2-2	OrSinBac	Single	50%	BWA	0.962150087	0.996235494	0.927806104	0.960803938
RiceS10-2-3	OrSinBac	Single	50%	BWA	0.961898731	0.995577563	0.927919357	0.960558535
RiceS10-2-4	OrSinBac	Single	50%	BWA	0.961749053	0.995376549	0.927807704	0.96040515
RiceS10-2-5	OrSinBac	Single	50%	BWA	0.961892631	0.995643448	0.927845155	0.960549439
RiceS10-2-1	OrSinBac	Single	50%	KMCP	0.653239944	1	0.306479888	0.469168933
RiceS10-2-2	OrSinBac	Single	50%	KMCP	0.653220293	1	0.306440587	0.469122882
RiceS10-2-3	OrSinBac	Single	50%	KMCP	0.653283895	1	0.30656779	0.469271923
RiceS10-2-4	OrSinBac	Single	50%	KMCP	0.653248194	1	0.306496388	0.469188267
RiceS10-2-5	OrSinBac	Single	50%	KMCP	0.653218793	1	0.306437587	0.469119367
RiceS10-2-1	OrSinBac	Single	50%	KneadData	0.970918537	0.997837735	0.943882421	0.970110439
RiceS10-2-2	OrSinBac	Single	50%	KneadData	0.970808134	0.997835651	0.943663116	0.96999361
RiceS10-2-3	OrSinBac	Single	50%	KneadData	0.970861186	0.997849264	0.943756518	0.970049384
RiceS10-2-4	OrSinBac	Single	50%	KneadData	0.970820635	0.997843078	0.943681116	0.970006629
RiceS10-2-5	OrSinBac	Single	50%	KneadData	0.970851735	0.997815322	0.943769818	0.970040371
RiceS10-2-1	OrSinBac	Single	50%	Kraken2	0.909403234	0.999289776	0.819388832	0.900441539
RiceS10-2-2	OrSinBac	Single	50%	Kraken2	0.909318457	0.99928366	0.819224178	0.900339628
RiceS10-2-3	OrSinBac	Single	50%	Kraken2	0.909277357	0.999296502	0.819131376	0.900288792
RiceS10-2-4	OrSinBac	Single	50%	Kraken2	0.909258756	0.999288368	0.819100825	0.900267039
RiceS10-2-5	OrSinBac	Single	50%	Kraken2	0.909238081	0.999277428	0.819068425	0.900243029
RiceS10-2-1	OrSinBac	Single	50%	KrakenUniq	0.949443547	0.999008053	0.899780515	0.946801551
RiceS10-2-2	OrSinBac	Single	50%	KrakenUniq	0.949419147	0.999002348	0.899736814	0.946774794
RiceS10-2-3	OrSinBac	Single	50%	KrakenUniq	0.949391596	0.999021903	0.899664012	0.946743268
RiceS10-2-4	OrSinBac	Single	50%	KrakenUniq	0.949344545	0.99900307	0.899586811	0.946692063
RiceS10-2-5	OrSinBac	Single	50%	KrakenUniq	0.949374696	0.998993051	0.899656212	0.946725993
RiceS10-3-1	OrSinBac	Single	10%	Bowtie2	0.972821625	0.999961895	0.728244	0.842742467
RiceS10-3-2	OrSinBac	Single	10%	Bowtie2	0.97282065	0.999956059	0.728238499	0.842736712
RiceS10-3-3	OrSinBac	Single	10%	Bowtie2	0.972787649	0.999964968	0.727901992	0.842514509
RiceS10-3-4	OrSinBac	Single	10%	Bowtie2	0.972830525	0.999959841	0.728334502	0.842802333
RiceS10-3-5	OrSinBac	Single	10%	Bowtie2	0.972811925	0.999961204	0.728147497	0.842677602
RiceS10-3-1	OrSinBac	Single	10%	BWA	0.989072974	0.961527829	0.927854591	0.944391142
RiceS10-3-2	OrSinBac	Single	10%	BWA	0.989705488	0.967860709	0.927866091	0.947441512
RiceS10-3-3	OrSinBac	Single	10%	BWA	0.989023898	0.9611776	0.927709587	0.944147094
RiceS10-3-4	OrSinBac	Single	10%	BWA	0.989174401	0.962428002	0.927970843	0.94488539
RiceS10-3-5	OrSinBac	Single	10%	BWA	0.989170951	0.962337464	0.928029345	0.944872077
RiceS10-3-1	OrSinBac	Single	10%	KMCP	0.930635205	1	0.306352046	0.469019124
RiceS10-3-2	OrSinBac	Single	10%	KMCP	0.930646655	1	0.306466549	0.469153304
RiceS10-3-3	OrSinBac	Single	10%	KMCP	0.930646705	1	0.306467049	0.46915389
RiceS10-3-4	OrSinBac	Single	10%	KMCP	0.930670705	1	0.306707054	0.469435063
RiceS10-3-5	OrSinBac	Single	10%	KMCP	0.930628054	1	0.306280544	0.468935323
RiceS10-3-1	OrSinBac	Single	10%	KneadData	0.992553279	0.980908857	0.94390371	0.962050565
RiceS10-3-2	OrSinBac	Single	10%	KneadData	0.992527228	0.98081572	0.943731206	0.961916168
RiceS10-3-3	OrSinBac	Single	10%	KneadData	0.992517178	0.980841205	0.943603203	0.961861926
RiceS10-3-4	OrSinBac	Single	10%	KneadData	0.992527478	0.980728335	0.943821208	0.961920887
RiceS10-3-5	OrSinBac	Single	10%	KneadData	0.992525678	0.980633579	0.94389771	0.961915033
RiceS10-3-1	OrSinBac	Single	10%	Kraken2	0.981426523	0.993680199	0.819477098	0.898210174
RiceS10-3-2	OrSinBac	Single	10%	Kraken2	0.981403572	0.9936039	0.819309844	0.898078531
RiceS10-3-3	OrSinBac	Single	10%	Kraken2	0.981368821	0.993668286	0.818906335	0.89786235
RiceS10-3-4	OrSinBac	Single	10%	Kraken2	0.981390822	0.993563698	0.819215092	0.898005185
RiceS10-3-5	OrSinBac	Single	10%	Kraken2	0.981383872	0.993488034	0.819208342	0.897970224
RiceS10-3-1	OrSinBac	Single	10%	KrakenUniq	0.989187551	0.991170707	0.899891698	0.943328246
RiceS10-3-2	OrSinBac	Single	10%	KrakenUniq	0.989186551	0.99111922	0.899929198	0.943325529
RiceS10-3-3	OrSinBac	Single	10%	KrakenUniq	0.9891496	0.991148614	0.899529189	0.943119031
RiceS10-3-4	OrSinBac	Single	10%	KrakenUniq	0.989152801	0.991061814	0.899641692	0.94314156
RiceS10-3-5	OrSinBac	Single	10%	KrakenUniq	0.989162951	0.99091735	0.899877697	0.943205795
RiceS10-1-1	OsjSinBac	Single	90%	Bowtie2	0.879919688	0.999999679	0.866577709	0.928520228
RiceS10-1-2	OsjSinBac	Single	90%	Bowtie2	0.879849837	0.999999487	0.866500263	0.928475687
RiceS10-1-3	OsjSinBac	Single	90%	Bowtie2	0.879831436	0.999999519	0.86647979	0.928463947
RiceS10-1-4	OsjSinBac	Single	90%	Bowtie2	0.879855262	0.999999487	0.866506291	0.928479147
RiceS10-1-5	OsjSinBac	Single	90%	Bowtie2	0.879908688	0.999999583	0.86656557	0.928513218
RiceS10-1-1	OsjSinBac	Single	90%	BWA	0.963994997	0.999543229	0.96043334	0.97959808
RiceS10-1-2	OsjSinBac	Single	90%	BWA	0.964099199	0.99969411	0.960404089	0.979655317
RiceS10-1-3	OsjSinBac	Single	90%	BWA	0.964164501	0.9997039	0.960467257	0.97969288
RiceS10-1-4	OsjSinBac	Single	90%	BWA	0.963838943	0.999379691	0.960417173	0.979511127
RiceS10-1-5	OsjSinBac	Single	90%	BWA	0.963942046	0.999453298	0.960460979	0.979569264
RiceS10-1-1	OsjSinBac	Single	90%	KMCP	0.595589599	1	0.55065511	0.710222545
RiceS10-1-2	OsjSinBac	Single	90%	KMCP	0.595522847	1	0.550580941	0.710160852
RiceS10-1-3	OsjSinBac	Single	90%	KMCP	0.595500747	1	0.550556385	0.710140425
RiceS10-1-4	OsjSinBac	Single	90%	KMCP	0.595371044	1	0.550412271	0.710020529
RiceS10-1-5	OsjSinBac	Single	90%	KMCP	0.595723152	1	0.550803502	0.710345961
RiceS10-1-1	OsjSinBac	Single	90%	KneadData	0.971206738	0.999763194	0.968236825	0.983747491
RiceS10-1-2	OsjSinBac	Single	90%	KneadData	0.971202738	0.999765716	0.968229936	0.983745156
RiceS10-1-3	OsjSinBac	Single	90%	KneadData	0.971224488	0.999770366	0.968249603	0.983757559
RiceS10-1-4	OsjSinBac	Single	90%	KneadData	0.971226588	0.999765378	0.96825677	0.983758843
RiceS10-1-5	OsjSinBac	Single	90%	KneadData	0.971243439	0.999763261	0.968277548	0.983768543
RiceS10-1-1	OsjSinBac	Single	90%	Kraken2	0.91369754	0.999925995	0.904175296	0.949643159
RiceS10-1-2	OsjSinBac	Single	90%	Kraken2	0.913638064	0.999927464	0.904107878	0.949606636
RiceS10-1-3	OsjSinBac	Single	90%	Kraken2	0.913681915	0.999930048	0.904154268	0.949633389
RiceS10-1-4	OsjSinBac	Single	90%	Kraken2	0.913670914	0.999928542	0.904143406	0.949626719
RiceS10-1-5	OsjSinBac	Single	90%	Kraken2	0.913734166	0.999927442	0.904214686	0.949665537
RiceS10-1-1	OsjSinBac	Single	90%	KrakenUniq	0.956361446	0.999894223	0.951613387	0.975156565
RiceS10-1-2	OsjSinBac	Single	90%	KrakenUniq	0.956322545	0.999896962	0.951567553	0.975133801
RiceS10-1-3	OsjSinBac	Single	90%	KrakenUniq	0.956381347	0.999897786	0.95163211	0.975168089
RiceS10-1-4	OsjSinBac	Single	90%	KrakenUniq	0.956300195	0.99989229	0.951547163	0.975120873
RiceS10-1-5	OsjSinBac	Single	90%	KrakenUniq	0.956346996	0.999894689	0.951596887	0.975148122
RiceS10-2-1	OsjSinBac	Single	50%	Bowtie2	0.933332955	0.999996423	0.86666901	0.928571232
RiceS10-2-2	OsjSinBac	Single	50%	Bowtie2	0.933183602	0.999996191	0.866370503	0.928399768
RiceS10-2-3	OsjSinBac	Single	50%	Bowtie2	0.933226003	0.999996826	0.866454755	0.928448414
RiceS10-2-4	OsjSinBac	Single	50%	Bowtie2	0.933247603	0.999996653	0.866498106	0.928473227
RiceS10-2-5	OsjSinBac	Single	50%	Bowtie2	0.933257353	0.999996826	0.866517457	0.92848441
RiceS10-2-1	OsjSinBac	Single	50%	BWA	0.978382207	0.99615169	0.960474899	0.977988032
RiceS10-2-2	OsjSinBac	Single	50%	BWA	0.978422808	0.996362605	0.960351546	0.978025705
RiceS10-2-3	OsjSinBac	Single	50%	BWA	0.978189428	0.995726988	0.960500699	0.977796679
RiceS10-2-4	OsjSinBac	Single	50%	BWA	0.978066025	0.995532944	0.960441648	0.977672517
RiceS10-2-5	OsjSinBac	Single	50%	BWA	0.978212628	0.995790924	0.960485099	0.977819421
RiceS10-2-1	OsjSinBac	Single	50%	KMCP	0.775355578	1	0.550711156	0.710269161
RiceS10-2-2	OsjSinBac	Single	50%	KMCP	0.775203775	1	0.550407549	0.710016601
RiceS10-2-3	OsjSinBac	Single	50%	KMCP	0.775280576	1	0.550561153	0.710144391
RiceS10-2-4	OsjSinBac	Single	50%	KMCP	0.775180074	1	0.550360148	0.709977161
RiceS10-2-5	OsjSinBac	Single	50%	KMCP	0.77542298	1	0.550845959	0.710381268
RiceS10-2-1	OsjSinBac	Single	50%	KneadData	0.983114265	0.997892089	0.968273877	0.982859899
RiceS10-2-2	OsjSinBac	Single	50%	KneadData	0.983081414	0.997890407	0.968209675	0.982826007
RiceS10-2-3	OsjSinBac	Single	50%	KneadData	0.983124465	0.997903627	0.968283077	0.982870236
RiceS10-2-4	OsjSinBac	Single	50%	KneadData	0.983119465	0.997897756	0.968278777	0.982865172
RiceS10-2-5	OsjSinBac	Single	50%	KneadData	0.983124315	0.997870582	0.968314978	0.982870641
RiceS10-2-1	OsjSinBac	Single	50%	Kraken2	0.951818901	0.999356364	0.904220166	0.949410926
RiceS10-2-2	OsjSinBac	Single	50%	Kraken2	0.951727649	0.999350825	0.904042562	0.949310517
RiceS10-2-3	OsjSinBac	Single	50%	Kraken2	0.951821027	0.999362659	0.904218716	0.949412967
RiceS10-2-4	OsjSinBac	Single	50%	Kraken2	0.951773625	0.999355251	0.904130564	0.94936103
RiceS10-2-5	OsjSinBac	Single	50%	Kraken2	0.951813251	0.999345429	0.904218766	0.949405219
RiceS10-2-1	OsjSinBac	Single	50%	KrakenUniq	0.975380789	0.999062074	0.951654998	0.974782483
RiceS10-2-2	OsjSinBac	Single	50%	KrakenUniq	0.975308837	0.999056587	0.951516195	0.974707051
